x,y,z
-1.1,-0.3,0.573168
-1.0,-0.3,1.04389
-0.9,-0.3,1.74422
-0.8,-0.3,2.68903
-0.7,-0.3,3.84932
-0.6,-0.3,5.15123
-0.5,-0.3,6.48934
-0.4,-0.3,7.74835
-0.3,-0.3,8.82361
-0.2,-0.3,9.63393
-0.1,-0.3,10.1251
0.0,-0.3,10.2679
0.1,-0.3,10.0542
0.2,-0.3,9.49604
0.3,-0.3,8.62755
0.4,-0.3,7.50818
0.5,-0.3,6.2244
0.6,-0.3,4.88429
0.7,-0.3,3.60299
0.8,-0.3,2.48121
0.9,-0.3,1.58449
1.0,-0.3,0.932499
1.1,-0.3,0.502943
1.2,-0.3,0.247395
1.3,-0.3,0.110525
1.4,-0.3,0.0446899
1.5,-0.3,0.0163076
-1.5,-0.2,0.0237859
-1.4,-0.2,0.0634622
-1.3,-0.2,0.15283
-1.2,-0.2,0.333203
-1.1,-0.2,0.660087
-1.0,-0.2,1.19339
-0.9,-0.2,1.97907
-0.8,-0.2,3.02819
-0.7,-0.2,4.30293
-0.6,-0.2,5.71799
-0.5,-0.2,7.15726
-0.4,-0.2,8.49831
-0.3,-0.2,9.63393
-0.2,-0.2,10.4839
-0.1,-0.2,10.9967
0.0,-0.2,11.1454
0.1,-0.2,10.9228
0.2,-0.2,10.3396
0.3,-0.2,9.42752
0.4,-0.2,8.24345
0.5,-0.2,6.87345
0.6,-0.2,5.42907
0.7,-0.2,4.03344
0.8,-0.2,2.79836
0.9,-0.2,1.80056
1.0,-0.2,1.06763
1.1,-0.2,0.580049
1.2,-0.2,0.287337
1.3,-0.2,0.129232
1.4,-0.2,0.0525864
1.5,-0.2,0.0193038
-1.5,-0.1,0.0262161
-1.4,-0.1,0.0696957
-1.3,-0.1,0.167203
-1.2,-0.1,0.363071
-1.1,-0.1,0.716223
-1.0,-0.1,1.2892
-0.9,-0.1,2.12839
-0.8,-0.1,3.242
-0.7,-0.1,4.58643
-0.6,-0.1,6.06917
-0.5,-0.1,7.56772
-0.4,-0.1,8.95578
-0.3,-0.1,10.1251
-0.2,-0.1,10.9967
-0.1,-0.1,11.5211
