x,y,z
-1.3,0.5,0.0
-1.2,0.5,0.0
-1.1,0.5,0.00598913
-1.0,0.5,0.104579
-0.9,0.5,0.379653
-0.8,0.5,0.859207
-0.7,0.5,1.54054
-0.6,0.5,2.40087
-0.5,0.5,3.40027
-0.4,0.5,4.42215
-0.3,0.5,5.32161
-0.2,0.5,6.0144
-0.1,0.5,6.45005
0.0,0.5,6.59929
0.1,0.5,6.45005
0.2,0.5,6.0144
0.3,0.5,5.32161
0.4,0.5,4.42215
0.5,0.5,3.40027
0.6,0.5,2.40087
0.7,0.5,1.54054
0.8,0.5,0.859207
0.9,0.5,0.379653
1.0,0.5,0.104579
1.1,0.5,0.00598913
1.2,0.5,0.0
1.3,0.5,0.0
1.4,0.5,0.0
1.5,0.5,0.0
-1.5,0.6,0.0
-1.4,0.6,0.0
-1.3,0.6,0.0
-1.2,0.6,0.0
-1.1,0.6,0.000425989
-1.0,0.6,0.0430915
-0.9,0.6,0.207617
-0.8,0.6,0.529682
-0.7,0.6,1.01461
-0.6,0.6,1.64783
-0.5,0.6,2.40087
-0.4,0.6,3.20935
-0.3,0.6,3.94794
-0.2,0.6,4.52843
-0.1,0.6,4.89671
0.0,0.6,5.02267
0.1,0.6,4.89671
0.2,0.6,4.52843
0.3,0.6,3.94794
0.4,0.6,3.20935
0.5,0.6,2.40087
0.6,0.6,1.64783
0.7,0.6,1.01461
0.8,0.6,0.529682
0.9,0.6,0.207617
1.0,0.6,0.0430915
1.1,0.6,0.000425989
1.2,0.6,0.0
1.3,0.6,0.0
1.4,0.6,0.0
1.5,0.6,0.0
-1.5,0.7,0.0
-1.4,0.7,0.0
-1.3,0.7,0.0
-1.2,0.7,0.0
-1.1,0.7,0.0
-1.0,0.7,0.00949948
-0.9,0.7,0.0865847
-0.8,0.7,0.274294
-0.7,0.7,0.585793
-0.6,0.7,1.01461
-0.5,0.7,1.54054
-0.4,0.7,2.12985
-0.3,0.7,2.69712
-0.2,0.7,3.15534
-0.1,0.7,3.4503
0.0,0.7,3.55183
0.1,0.7,3.4503
0.2,0.7,3.15534
0.3,0.7,2.69712
0.4,0.7,2.12985
0.5,0.7,1.54054
0.6,0.7,1.01461
0.7,0.7,0.585793
0.8,0.7,0.274294
0.9,0.7,0.0865847
1.0,0.7,0.00949948
1.1,0.7,0.0
1.2,0.7,0.0
1.3,0.7,0.0
1.4,0.7,0.0
1.5,0.7,0.0
-1.5,0.8,0.0
-1.4,0.8,0.0
-1.3,0.8,0.0
-1.2,0.8,0.0
-1.1,0.8,0.0
-1.0,0.8,0.000154258
